Habitat,Environment,Site_ID,weight_mg,ug_N,del15N
Sand,SGD,SandSGD_1,2.7,34.1,7.5
Sand,SGD,SandSGD_2,2.48,25.4,4.9
Sand,SGD,Sand_SGD_3,2.63,32.6,7.2
Sand,Ambient,Sand_Amb_1,2.41,20.6,4.4
Sand,Ambient,Sand_Amb_2,2.56,25.1,4.5
Sand,Ambient,Sand_Amb_3,2.68,21.7,4.1
Reef,SGD,Reef_SGD_1,2.6,25.9,4.3
Reef,SGD,Reef_SGD_2,2.62,30.3,4.4
Reef,SGD,Reef_SGD_3,2.38,28.6,5.3
Reef,Ambient,Reef_Amb_1,2.48,23.2,4.1
Reef,Ambient,Reef_Amb_2,2.72,26.4,4.2
Reef,Ambient,Reef_Amb_3,2.48,21.5,4.2
